id_oc,proveedor,id_producto,fecha_pedido,fecha_recepcion,unidades,costo_unitario_ars
OC00767,Proveedor J,SKU00729,2023-06-02,2023-07-24,155,38693.48
OC00768,Proveedor H,SKU00712,2024-06-28,2024-07-10,36,24254.32
OC00769,Proveedor F,SKU00694,2024-02-17,2024-04-13,104,21338.58
OC00770,Proveedor E,SKU00194,2026-03-21,2026-04-28,386,6658.87
OC00771,Proveedor B,SKU00052,2024-06-21,2024-08-05,384,36925.05
OC00772,Proveedor J,SKU00399,2025-07-12,2025-08-30,155,42916.51
OC00773,Proveedor H,SKU00732,2023-11-03,2023-11-19,36,3341.75
OC00774,Proveedor G,SKU00313,2025-09-02,2025-09-30,21,3438.1
OC00775,Proveedor E,SKU00127,2024-11-02,2024-12-08,579,44107.79
OC00776,Proveedor G,SKU00585,2025-03-13,2025-04-14,21,1602.11
OC00777,Proveedor D,SKU00381,2026-06-24,2026-07-16,153,46861.23
OC00778,Proveedor A,SKU00698,2023-03-15,2023-04-14,147,20245.26
OC00779,Proveedor H,SKU00161,2025-12-13,2025-12-22,108,23287.21
OC00780,Proveedor D,SKU00282,2025-04-18,2025-05-10,153,49285.74
OC00781,Proveedor H,SKU00073,2026-04-30,2026-05-14,36,31430.69
OC00782,Proveedor G,SKU00677,2025-06-10,2025-07-12,21,19752.5
OC00783,Proveedor E,SKU00741,2023-07-04,2023-08-13,579,11601.15
OC00784,Proveedor D,SKU00323,2024-06-25,2024-07-25,153,3089.81
OC00785,Proveedor G,SKU00053,2023-08-12,2023-09-11,63,19666.69
OC00786,Proveedor J,SKU00276,2023-12-29,2024-02-18,155,26292.32
OC00787,Proveedor B,SKU00383,2022-09-09,2022-10-28,576,26572.75
OC00788,Proveedor I,SKU00487,2024-10-26,2024-11-24,182,12437.92
OC00789,Proveedor G,SKU00530,2025-06-24,2025-07-26,21,47095.57
OC00790,Proveedor D,SKU00209,2022-11-21,2022-12-13,306,9518.16
OC00791,Proveedor D,SKU00798,2025-06-02,2025-07-02,459,40465.77
OC00792,Proveedor G,SKU00328,2025-02-26,2025-03-26,21,48632.86
OC00793,Proveedor D,SKU00344,2026-05-05,2026-06-04,153,36100.78
OC00794,Proveedor A,SKU00105,2025-07-19,2025-08-23,147,41615.31
OC00795,Proveedor D,SKU00381,2024-04-26,2024-05-22,153,42315.78
OC00796,Proveedor B,SKU00199,2025-07-04,2025-08-17,576,36639.38
OC00797,Proveedor J,SKU00203,2025-10-26,2025-12-16,310,13747.35
OC00798,Proveedor D,SKU00320,2023-05-09,2023-06-01,153,12652.32
OC00799,Proveedor D,SKU00418,2025-11-24,2025-12-17,153,35285.77
OC00800,Proveedor G,SKU00485,2025-07-16,2025-08-15,21,5703.43
OC00801,Proveedor B,SKU00730,2025-02-16,2025-04-05,192,20148.54
OC00802,Proveedor I,SKU00740,2025-12-25,2026-01-25,182,40602.19
OC00803,Proveedor B,SKU00565,2025-04-13,2025-06-03,384,8301.98
OC00804,Proveedor H,SKU00073,2025-03-14,2025-03-26,36,39080.27
OC00805,Proveedor F,SKU00707,2025-07-26,2025-09-19,104,35656.28
OC00806,Proveedor H,SKU00512,2026-01-13,2026-01-23,36,30861.19
OC00807,Proveedor B,SKU00092,2025-05-05,2025-06-24,192,40626.34
OC00808,Proveedor F,SKU00527,2025-08-28,2025-10-27,52,33570.39
OC00809,Proveedor C,SKU00636,2024-06-29,2024-07-07,35,18847.6
OC00810,Proveedor G,SKU00799,2026-02-09,2026-03-08,42,35021.63
OC00811,Proveedor H,SKU00304,2025-07-13,2025-07-21,72,49305.62
OC00812,Proveedor G,SKU00451,2024-10-02,2024-11-03,21,31153.52
OC00813,Proveedor B,SKU00479,2023-05-19,2023-07-03,192,40642.9
OC00814,Proveedor A,SKU00370,2022-05-11,2022-06-11,147,19649.26
OC00815,Proveedor A,SKU00124,2025-10-26,2025-11-26,147,17200.86
OC00816,Proveedor E,SKU00400,2026-03-08,2026-04-19,193,5003.14
OC00817,Proveedor C,SKU00120,2023-01-01,2023-01-14,35,38850.8
OC00818,Proveedor B,SKU00447,2024-10-11,2024-11-23,384,21715.61
OC00819,Proveedor F,SKU00369,2026-02-16,2026-04-12,52,34777.24
OC00820,Proveedor G,SKU00461,2025-12-04,2026-01-01,21,37249.51
OC00821,Proveedor C,SKU00636,2024-03-27,2024-04-09,35,18828.35
OC00822,Proveedor G,SKU00079,2024-05-21,2024-06-19,21,29497.11
OC00823,Proveedor H,SKU00668,2022-12-16,2022-12-31,36,37523.15
OC00824,Proveedor B,SKU00513,2026-02-25,2026-04-15,384,28371.17
OC00825,Proveedor H,SKU00145,2024-06-20,2024-07-05,36,2447.22
OC00826,Proveedor A,SKU00033,2023-05-30,2023-07-06,147,41192.74
OC00827,Proveedor D,SKU00027,2024-02-05,2024-03-01,306,9642.48
OC00828,Proveedor A,SKU00230,2025-08-24,2025-09-28,294,48131.08
OC00829,Proveedor A,SKU00401,2026-03-01,2026-04-05,147,36196.25
OC00830,Proveedor J,SKU00700,2025-08-23,2025-10-16,155,22209.06
OC00831,Proveedor I,SKU00431,2024-01-24,2024-02-21,364,37727.36
OC00832,Proveedor E,SKU00334,2026-04-08,2026-05-15,193,14258.79
OC00833,Proveedor G,SKU00102,2024-07-31,2024-08-26,21,37089.91
OC00834,Proveedor A,SKU00370,2022-06-23,2022-07-26,147,20467.17
OC00835,Proveedor H,SKU00746,2025-10-07,2025-10-18,36,12960.86
OC00836,Proveedor I,SKU00035,2025-12-13,2026-01-17,364,38312.1
OC00837,Proveedor I,SKU00157,2023-03-29,2023-04-26,182,2401.36
OC00838,Proveedor H,SKU00161,2026-06-06,2026-06-21,108,23474.54
OC00839,Proveedor J,SKU00397,2025-04-21,2025-06-15,155,23432.94
OC00840,Proveedor H,SKU00281,2022-12-30,2023-01-10,36,46529.67
OC00841,Proveedor H,SKU00326,2024-01-30,2024-02-15,36,10437.95
OC00842,Proveedor F,SKU00240,2026-03-24,2026-05-19,104,6877.85
OC00843,Proveedor G,SKU00452,2022-07-18,2022-08-16,63,19497.27
OC00844,Proveedor G,SKU00771,2024-03-13,2024-04-12,21,36835.43
OC00845,Proveedor B,SKU00141,2025-12-02,2026-01-18,192,43108.56
OC00846,Proveedor F,SKU00204,2025-03-10,2025-05-10,52,30443.87
OC00847,Proveedor E,SKU00469,2024-06-18,2024-07-29,386,26976.32
OC00848,Proveedor F,SKU00329,2024-12-09,2025-02-06,52,35422.46
OC00849,Proveedor E,SKU00170,2026-01-06,2026-02-10,193,41390.99
OC00850,Proveedor G,SKU00657,2023-05-07,2023-06-01,21,52817.75
OC00851,Proveedor G,SKU00093,2024-10-20,2024-11-16,21,39560.1
OC00852,Proveedor G,SKU00309,2025-01-20,2025-02-22,21,48386.71
OC00853,Proveedor G,SKU00574,2026-02-27,2026-03-28,21,3643.63
OC00854,Proveedor B,SKU00733,2024-10-28,2024-12-13,192,25267.96
OC00855,Proveedor F,SKU00749,2026-01-09,2026-03-10,52,47324.9
OC00856,Proveedor I,SKU00293,2025-05-10,2025-06-09,182,38974.94
OC00857,Proveedor F,SKU00438,2025-11-10,2026-01-09,52,1455.51
OC00858,Proveedor A,SKU00675,2023-12-23,2024-01-28,147,45311.87
OC00859,Proveedor H,SKU00577,2025-05-21,2025-05-29,36,6848.46
OC00860,Proveedor D,SKU00798,2023-11-27,2023-12-21,153,40935.21
OC00861,Proveedor E,SKU00334,2025-08-09,2025-09-17,193,14720.85
OC00862,Proveedor C,SKU00193,2024-01-22,2024-01-31,35,10253.02
OC00863,Proveedor F,SKU00557,2026-05-28,2026-07-25,52,30586.67
OC00864,Proveedor I,SKU00076,2023-12-13,2024-01-15,182,52088.59
OC00865,Proveedor E,SKU00107,2025-01-09,2025-02-15,386,41171.23
OC00866,Proveedor G,SKU00713,2022-12-17,2023-01-12,21,24857.71
OC00867,Proveedor C,SKU00655,2024-11-21,2024-12-02,35,2817.62
OC00868,Proveedor I,SKU00284,2024-01-15,2024-02-14,364,34963.38
OC00869,Proveedor A,SKU00546,2023-04-11,2023-05-13,441,42601.73
OC00870,Proveedor B,SKU00192,2024-04-01,2024-05-15,192,19402.72
OC00871,Proveedor F,SKU00674,2025-07-21,2025-09-14,156,41264.68
OC00872,Proveedor B,SKU00511,2025-09-15,2025-10-29,576,5340.58
OC00873,Proveedor J,SKU00275,2025-05-25,2025-07-13,310,20310.73
OC00874,Proveedor F,SKU00707,2025-05-25,2025-07-18,52,36459.57
OC00875,Proveedor B,SKU00706,2026-01-19,2026-03-11,576,40984.17
OC00876,Proveedor A,SKU00263,2023-10-25,2023-11-29,147,25031.04
OC00877,Proveedor B,SKU00159,2025-06-13,2025-07-27,192,43440.94
OC00878,Proveedor D,SKU00465,2024-05-29,2024-06-26,306,13121.26
OC00879,Proveedor E,SKU00731,2024-06-23,2024-07-30,193,24618.25
OC00880,Proveedor G,SKU00452,2023-04-26,2023-05-26,21,18809.26
OC00881,Proveedor A,SKU00704,2023-12-01,2024-01-03,441,11711.95
OC00882,Proveedor G,SKU00079,2024-06-15,2024-07-10,42,27874.38
OC00883,Proveedor I,SKU00455,2026-05-05,2026-06-03,364,37754.12
OC00884,Proveedor A,SKU00311,2025-04-13,2025-05-20,441,45229.76
OC00885,Proveedor G,SKU00794,2023-05-17,2023-06-17,21,20339.8
OC00886,Proveedor F,SKU00454,2025-09-11,2025-11-08,52,19804.7
OC00887,Proveedor A,SKU00496,2024-09-16,2024-10-22,147,44280.8
OC00888,Proveedor C,SKU00453,2022-12-28,2023-01-11,35,40296.6
OC00889,Proveedor C,SKU00181,2024-05-04,2024-05-19,35,53754.44
OC00890,Proveedor F,SKU00062,2025-04-09,2025-06-02,52,34486.46
OC00891,Proveedor I,SKU00226,2024-11-19,2024-12-23,182,15585.57
OC00892,Proveedor I,SKU00044,2023-06-05,2023-07-11,182,47254.56
OC00893,Proveedor H,SKU00372,2025-12-24,2026-01-07,36,41584.39
OC00894,Proveedor J,SKU00486,2025-06-26,2025-08-20,310,47103.81
OC00895,Proveedor G,SKU00647,2024-08-11,2024-09-09,21,34844.9
OC00896,Proveedor A,SKU00046,2025-12-25,2026-01-29,147,33108.39
OC00897,Proveedor A,SKU00441,2025-02-15,2025-03-24,147,7616.52
OC00898,Proveedor D,SKU00095,2025-07-08,2025-08-01,459,16725.51
OC00899,Proveedor F,SKU00638,2025-04-18,2025-06-18,52,27780.55
OC00900,Proveedor D,SKU00251,2025-01-24,2025-02-17,153,8359.65
OC00901,Proveedor G,SKU00461,2025-08-22,2025-09-16,63,39677.82
OC00902,Proveedor G,SKU00202,2025-08-22,2025-09-19,21,21240.03
OC00903,Proveedor H,SKU00145,2026-04-03,2026-04-12,36,2251.71
OC00904,Proveedor J,SKU00308,2025-09-16,2025-11-07,465,53010.96
OC00905,Proveedor J,SKU00734,2023-02-24,2023-04-15,310,52071.79
OC00906,Proveedor I,SKU00673,2025-12-08,2026-01-08,364,37716.22
OC00907,Proveedor G,SKU00083,2025-05-27,2025-06-23,21,4411.8
OC00908,Proveedor B,SKU00783,2023-04-30,2023-06-14,192,46308.24
OC00909,Proveedor B,SKU00714,2025-06-24,2025-08-11,192,8183.12
OC00910,Proveedor G,SKU00012,2024-12-29,2025-01-31,21,16574.92
OC00911,Proveedor G,SKU00125,2022-04-09,2022-05-09,21,14523.0
OC00912,Proveedor B,SKU00166,2024-12-18,2025-02-01,192,31941.39
OC00913,Proveedor F,SKU00242,2026-06-19,2026-08-18,52,43052.19
OC00914,Proveedor A,SKU00033,2024-09-20,2024-10-20,147,45426.53
OC00915,Proveedor A,SKU00406,2024-06-24,2024-07-26,147,24823.38
OC00916,Proveedor B,SKU00184,2026-05-31,2026-07-18,576,28229.82
OC00917,Proveedor I,SKU00627,2023-04-29,2023-05-29,364,41655.34
OC00918,Proveedor H,SKU00161,2024-01-08,2024-01-16,108,23134.27
OC00919,Proveedor F,SKU00602,2024-05-04,2024-07-03,52,46987.95
OC00920,Proveedor D,SKU00032,2023-08-12,2023-09-06,153,20240.85
OC00921,Proveedor J,SKU00775,2026-05-15,2026-07-04,155,35262.34
OC00922,Proveedor I,SKU00612,2026-03-11,2026-04-14,364,32329.02
OC00923,Proveedor B,SKU00733,2025-05-09,2025-06-24,192,26587.45
OC00924,Proveedor E,SKU00591,2025-12-09,2026-01-12,579,32931.21
OC00925,Proveedor F,SKU00623,2024-11-22,2025-01-17,52,12337.36
OC00926,Proveedor E,SKU00640,2025-07-04,2025-08-07,579,40558.85
OC00927,Proveedor B,SKU00119,2024-08-12,2024-09-27,576,45423.77
OC00928,Proveedor G,SKU00425,2025-11-16,2025-12-19,21,20601.04
OC00929,Proveedor D,SKU00049,2025-07-04,2025-08-03,459,17453.75
OC00930,Proveedor B,SKU00552,2025-10-26,2025-12-15,192,14391.47
OC00931,Proveedor B,SKU00138,2024-07-28,2024-09-11,192,20099.58
OC00932,Proveedor J,SKU00568,2025-06-14,2025-08-09,155,22934.5
OC00933,Proveedor C,SKU00162,2024-08-19,2024-08-26,70,27299.48
OC00934,Proveedor H,SKU00407,2022-03-09,2022-03-24,36,1280.73
OC00935,Proveedor H,SKU00668,2024-06-16,2024-06-26,36,35725.5
OC00936,Proveedor C,SKU00755,2025-02-05,2025-02-18,35,3067.02
OC00937,Proveedor F,SKU00745,2024-12-18,2025-02-12,52,41376.57
OC00938,Proveedor E,SKU00763,2025-08-25,2025-09-28,193,8837.54
OC00939,Proveedor B,SKU00138,2025-04-11,2025-05-24,384,19135.32
OC00940,Proveedor I,SKU00455,2024-08-19,2024-09-20,546,32803.5
OC00941,Proveedor C,SKU00755,2026-07-20,2026-08-04,35,2738.73
OC00942,Proveedor C,SKU00505,2023-12-20,2024-01-04,105,32273.13
OC00943,Proveedor J,SKU00442,2023-04-02,2023-05-28,155,22176.93
OC00944,Proveedor F,SKU00536,2025-08-21,2025-10-16,156,6154.46
OC00945,Proveedor B,SKU00415,2025-06-14,2025-07-29,576,17320.36
OC00946,Proveedor A,SKU00041,2025-05-11,2025-06-15,147,23916.4
OC00947,Proveedor E,SKU00731,2024-05-28,2024-07-05,193,27973.61
OC00948,Proveedor B,SKU00528,2026-02-07,2026-03-22,192,35951.66
OC00949,Proveedor A,SKU00718,2026-07-26,2026-08-28,294,37051.94
OC00950,Proveedor D,SKU00302,2023-11-08,2023-12-01,459,40473.83
OC00951,Proveedor J,SKU00550,2024-07-05,2024-08-25,155,19779.12
OC00952,Proveedor H,SKU00354,2025-07-21,2025-08-01,36,47599.2
OC00953,Proveedor F,SKU00385,2023-10-18,2023-12-12,156,45025.99
OC00954,Proveedor I,SKU00612,2025-03-18,2025-04-16,182,30341.17
OC00955,Proveedor C,SKU00754,2025-03-30,2025-04-07,35,9691.81
OC00956,Proveedor D,SKU00290,2025-07-10,2025-08-03,153,15027.48
OC00957,Proveedor A,SKU00681,2025-06-10,2025-07-11,147,36054.62
OC00958,Proveedor H,SKU00190,2022-11-06,2022-11-19,36,23848.11
OC00959,Proveedor G,SKU00093,2024-09-24,2024-10-26,21,38640.38
OC00960,Proveedor F,SKU00557,2024-07-16,2024-09-14,52,30512.96
OC00961,Proveedor H,SKU00179,2025-08-29,2025-09-06,36,7751.55
OC00962,Proveedor A,SKU00704,2025-02-26,2025-03-29,294,11792.96
OC00963,Proveedor A,SKU00235,2024-08-04,2024-09-08,147,13262.71
OC00964,Proveedor B,SKU00498,2025-10-28,2025-12-17,192,16198.64
OC00965,Proveedor J,SKU00350,2025-12-27,2026-02-22,155,21865.27
OC00966,Proveedor G,SKU00250,2026-02-16,2026-03-15,21,3261.81
OC00967,Proveedor A,SKU00317,2024-01-03,2024-02-06,147,40717.87
OC00968,Proveedor B,SKU00479,2023-09-03,2023-10-24,192,42631.95
OC00969,Proveedor B,SKU00722,2024-05-27,2024-07-14,192,32671.28
OC00970,Proveedor I,SKU00522,2026-04-09,2026-05-13,182,47486.15
OC00971,Proveedor F,SKU00601,2025-02-17,2025-04-13,52,20021.38
OC00972,Proveedor H,SKU00224,2025-03-31,2025-04-12,108,20914.81
OC00973,Proveedor A,SKU00124,2025-02-18,2025-03-23,147,16772.02
OC00974,Proveedor D,SKU00465,2026-03-31,2026-04-29,306,14329.61
OC00975,Proveedor B,SKU00096,2026-01-04,2026-02-23,192,8236.66
OC00976,Proveedor C,SKU00341,2026-04-14,2026-04-24,35,36891.67
OC00977,Proveedor J,SKU00515,2025-04-23,2025-06-11,310,30260.02
OC00978,Proveedor H,SKU00001,2023-11-11,2023-11-25,36,7972.33
OC00979,Proveedor B,SKU00195,2026-06-27,2026-08-11,192,37853.54
OC00980,Proveedor I,SKU00044,2023-07-30,2023-08-27,364,41488.01
OC00981,Proveedor H,SKU00678,2023-09-22,2023-10-07,36,42831.65
OC00982,Proveedor C,SKU00099,2024-12-19,2024-12-31,35,15632.41
OC00983,Proveedor F,SKU00385,2023-10-18,2023-12-12,52,43825.47
OC00984,Proveedor F,SKU00204,2023-10-29,2023-12-21,52,34186.46
OC00985,Proveedor A,SKU00270,2022-04-29,2022-06-05,147,21642.37
OC00986,Proveedor G,SKU00560,2025-09-16,2025-10-12,21,3961.18
OC00987,Proveedor D,SKU00508,2024-02-20,2024-03-17,153,38981.61
OC00988,Proveedor G,SKU00153,2026-06-18,2026-07-14,21,42554.16
OC00989,Proveedor C,SKU00143,2024-03-11,2024-03-22,35,4428.61
OC00990,Proveedor D,SKU00049,2026-02-06,2026-03-02,306,17297.79
OC00991,Proveedor G,SKU00205,2023-08-21,2023-09-15,21,40177.34
OC00992,Proveedor H,SKU00292,2026-05-08,2026-05-17,36,44180.24
OC00993,Proveedor G,SKU00063,2023-11-10,2023-12-11,21,25731.9
OC00994,Proveedor F,SKU00204,2023-01-12,2023-03-12,156,32073.87
OC00995,Proveedor F,SKU00645,2025-05-09,2025-07-06,52,21639.81
OC00996,Proveedor G,SKU00596,2024-04-02,2024-05-01,21,21108.06
OC00997,Proveedor G,SKU00200,2024-11-14,2024-12-10,42,26844.67
OC00998,Proveedor J,SKU00463,2023-08-24,2023-10-20,465,35700.24
OC00999,Proveedor H,SKU00333,2023-07-13,2023-07-29,108,38308.12
OC01000,Proveedor E,SKU00297,2025-12-04,2026-01-07,579,7117.54
OC01001,Proveedor J,SKU00777,2025-10-03,2025-11-29,155,26755.27
OC01002,Proveedor D,SKU00106,2026-06-08,2026-07-02,153,7087.36
OC01003,Proveedor I,SKU00072,2025-05-04,2025-06-03,182,25587.05
OC01004,Proveedor D,SKU00786,2025-06-08,2025-07-01,153,10394.32
OC01005,Proveedor G,SKU00517,2025-11-24,2025-12-23,42,30606.83
OC01006,Proveedor A,SKU00628,2023-11-20,2023-12-21,147,24871.15
OC01007,Proveedor B,SKU00195,2025-08-20,2025-10-04,192,38506.78
OC01008,Proveedor F,SKU00507,2025-11-07,2026-01-02,156,41078.8
OC01009,Proveedor G,SKU00544,2023-07-16,2023-08-16,21,12023.94
OC01010,Proveedor F,SKU00703,2026-06-16,2026-08-15,52,20948.64
OC01011,Proveedor F,SKU00454,2022-03-13,2022-05-11,52,20128.7
OC01012,Proveedor D,SKU00299,2025-05-21,2025-06-19,153,3908.98
OC01013,Proveedor H,SKU00624,2025-06-02,2025-06-12,108,2074.2
OC01014,Proveedor G,SKU00657,2024-03-13,2024-04-14,42,48783.37
OC01015,Proveedor I,SKU00076,2025-11-19,2025-12-21,364,55783.83
OC01016,Proveedor J,SKU00228,2022-06-01,2022-07-20,310,25854.21
OC01017,Proveedor I,SKU00455,2024-10-18,2024-11-18,182,33783.84
OC01018,Proveedor D,SKU00049,2025-06-19,2025-07-16,153,16546.17
OC01019,Proveedor F,SKU00438,2026-01-07,2026-03-09,52,1356.29
OC01020,Proveedor H,SKU00128,2025-07-03,2025-07-14,72,2199.03
OC01021,Proveedor F,SKU00392,2025-09-04,2025-11-03,156,28217.03
OC01022,Proveedor G,SKU00693,2024-03-06,2024-04-04,21,5730.44
OC01023,Proveedor I,SKU00035,2026-06-29,2026-08-04,182,39821.64
OC01024,Proveedor D,SKU00299,2026-02-07,2026-03-04,153,3476.36
OC01025,Proveedor A,SKU00022,2024-04-03,2024-05-10,441,4044.38
OC01026,Proveedor H,SKU00269,2026-07-07,2026-07-19,36,15385.99
OC01027,Proveedor I,SKU00080,2025-07-14,2025-08-11,182,12970.91
OC01028,Proveedor J,SKU00397,2025-02-13,2025-04-08,310,22213.02
OC01029,Proveedor A,SKU00361,2023-02-25,2023-03-27,294,26888.06
OC01030,Proveedor G,SKU00233,2024-09-01,2024-10-01,63,35070.54
OC01031,Proveedor G,SKU00063,2026-05-25,2026-06-26,21,26129.23
OC01032,Proveedor D,SKU00466,2025-09-03,2025-09-27,153,32188.33
OC01033,Proveedor A,SKU00004,2024-03-13,2024-04-15,147,1630.48
OC01034,Proveedor J,SKU00597,2025-07-02,2025-08-22,465,44393.61
OC01035,Proveedor G,SKU00461,2026-01-15,2026-02-14,21,34967.08
OC01036,Proveedor D,SKU00142,2024-11-06,2024-11-29,153,12989.21
OC01037,Proveedor E,SKU00306,2023-10-23,2023-12-03,193,10810.94
OC01038,Proveedor D,SKU00390,2024-09-23,2024-10-19,153,26309.94
OC01039,Proveedor G,SKU00713,2022-12-02,2023-01-03,42,26343.83
OC01040,Proveedor D,SKU00648,2025-09-28,2025-10-23,153,8627.65
OC01041,Proveedor B,SKU00184,2025-04-05,2025-05-24,192,27083.55
OC01042,Proveedor H,SKU00140,2026-01-29,2026-02-07,72,11056.86
OC01043,Proveedor G,SKU00225,2025-11-05,2025-12-07,42,1449.61
OC01044,Proveedor F,SKU00745,2024-10-12,2024-12-04,52,40995.89
OC01045,Proveedor J,SKU00399,2025-05-12,2025-07-05,155,47023.07
OC01046,Proveedor G,SKU00544,2025-12-09,2026-01-07,63,10718.77
OC01047,Proveedor B,SKU00119,2025-11-16,2025-12-29,576,48467.81
OC01048,Proveedor F,SKU00086,2026-02-12,2026-04-13,52,15568.67
OC01049,Proveedor H,SKU00504,2024-03-09,2024-03-25,36,46522.53
OC01050,Proveedor C,SKU00483,2025-12-11,2025-12-20,105,28718.45
OC01051,Proveedor G,SKU00422,2025-02-10,2025-03-09,21,15564.36
OC01052,Proveedor H,SKU00668,2023-05-06,2023-05-19,36,35737.92
OC01053,Proveedor B,SKU00052,2025-01-22,2025-03-10,384,36953.52
OC01054,Proveedor D,SKU00286,2024-08-20,2024-09-14,153,23749.61
OC01055,Proveedor I,SKU00072,2024-06-03,2024-07-05,546,22599.71
OC01056,Proveedor A,SKU00327,2024-04-21,2024-05-24,294,18168.82
OC01057,Proveedor B,SKU00509,2025-11-16,2026-01-01,192,48475.4
OC01058,Proveedor H,SKU00281,2025-10-09,2025-10-19,36,50106.6
OC01059,Proveedor A,SKU00633,2023-02-27,2023-03-31,294,5953.74
OC01060,Proveedor F,SKU00495,2024-12-23,2025-02-20,52,29940.72
OC01061,Proveedor F,SKU00715,2026-05-03,2026-06-30,52,14517.15
OC01062,Proveedor F,SKU00062,2023-06-19,2023-08-12,52,36737.76
OC01063,Proveedor J,SKU00679,2024-02-14,2024-04-06,155,16091.81
OC01064,Proveedor D,SKU00788,2023-12-27,2024-01-18,153,47077.95
OC01065,Proveedor H,SKU00482,2024-03-17,2024-03-30,36,6826.05
OC01066,Proveedor G,SKU00104,2023-12-17,2024-01-13,21,42890.69
OC01067,Proveedor G,SKU00043,2026-04-22,2026-05-25,21,16166.82
OC01068,Proveedor F,SKU00510,2025-04-21,2025-06-15,52,18063.2
OC01069,Proveedor H,SKU00732,2024-10-29,2024-11-12,36,3023.55
OC01070,Proveedor E,SKU00672,2023-08-23,2023-09-28,193,11837.01
OC01071,Proveedor G,SKU00198,2025-01-24,2025-02-26,42,35098.46
OC01072,Proveedor H,SKU00768,2026-03-10,2026-03-21,36,19402.41
OC01073,Proveedor G,SKU00278,2023-11-22,2023-12-22,21,7657.31
OC01074,Proveedor J,SKU00308,2025-04-05,2025-05-27,155,50225.84
OC01075,Proveedor E,SKU00724,2025-10-25,2025-11-28,193,20960.76
OC01076,Proveedor I,SKU00618,2024-10-01,2024-11-01,364,42620.94
OC01077,Proveedor I,SKU00619,2025-09-21,2025-10-26,546,21427.61
OC01078,Proveedor J,SKU00330,2025-06-06,2025-07-26,465,9536.43
OC01079,Proveedor G,SKU00425,2023-01-03,2023-02-04,21,21185.66
OC01080,Proveedor F,SKU00396,2024-10-27,2024-12-22,104,2432.87
OC01081,Proveedor G,SKU00201,2025-08-23,2025-09-23,21,20667.29
OC01082,Proveedor A,SKU00546,2024-10-06,2024-11-05,147,43556.35
OC01083,Proveedor B,SKU00038,2026-06-06,2026-07-25,192,28934.34
OC01084,Proveedor G,SKU00340,2023-03-09,2023-04-07,42,10633.63
OC01085,Proveedor E,SKU00534,2025-02-15,2025-03-28,193,2776.92
OC01086,Proveedor I,SKU00116,2025-10-27,2025-11-28,182,22447.55
OC01087,Proveedor G,SKU00180,2025-04-17,2025-05-12,42,14897.14
OC01088,Proveedor B,SKU00730,2022-09-22,2022-11-08,192,20286.73
OC01089,Proveedor I,SKU00431,2025-01-27,2025-02-26,182,29755.54
OC01090,Proveedor H,SKU00682,2024-07-18,2024-07-27,36,18013.53
OC01091,Proveedor H,SKU00610,2024-12-17,2025-01-01,36,38184.22
OC01092,Proveedor H,SKU00179,2026-05-31,2026-06-10,36,7726.06
OC01093,Proveedor J,SKU00118,2024-10-29,2024-12-22,155,17743.71
OC01094,Proveedor I,SKU00680,2023-11-07,2023-12-08,546,11502.56
OC01095,Proveedor E,SKU00459,2026-04-14,2026-05-19,193,19168.98
OC01096,Proveedor I,SKU00314,2025-02-24,2025-03-26,182,19857.21
OC01097,Proveedor E,SKU00551,2026-02-04,2026-03-13,193,26614.91
OC01098,Proveedor J,SKU00214,2025-07-21,2025-09-16,155,9703.33
OC01099,Proveedor D,SKU00142,2025-08-25,2025-09-19,153,14613.76
OC01100,Proveedor H,SKU00255,2025-02-26,2025-03-13,36,12162.37
OC01101,Proveedor I,SKU00619,2023-03-16,2023-04-18,182,19701.86
OC01102,Proveedor B,SKU00733,2024-11-10,2024-12-28,576,26800.46
OC01103,Proveedor I,SKU00364,2022-07-17,2022-08-19,182,34663.08
OC01104,Proveedor F,SKU00638,2025-10-29,2025-12-26,52,28064.22
OC01105,Proveedor A,SKU00546,2026-07-25,2026-08-27,147,39337.62
OC01106,Proveedor C,SKU00018,2025-01-02,2025-01-17,70,32957.73
OC01107,Proveedor I,SKU00742,2025-12-13,2026-01-18,182,35728.4
OC01108,Proveedor E,SKU00322,2024-10-20,2024-11-28,386,25369.73
OC01109,Proveedor G,SKU00063,2023-07-15,2023-08-10,21,26783.84
OC01110,Proveedor J,SKU00652,2025-04-29,2025-06-17,155,37713.85
OC01111,Proveedor J,SKU00524,2025-04-21,2025-06-15,155,8324.22
OC01112,Proveedor G,SKU00053,2024-02-14,2024-03-12,21,19207.76
OC01113,Proveedor G,SKU00517,2024-12-17,2025-01-11,21,33210.98
OC01114,Proveedor A,SKU00315,2023-10-20,2023-11-24,147,2063.41
OC01115,Proveedor H,SKU00682,2026-02-28,2026-03-13,36,18654.46
OC01116,Proveedor D,SKU00756,2022-05-11,2022-06-09,459,23746.79
OC01117,Proveedor A,SKU00566,2024-06-07,2024-07-07,147,24889.61
OC01118,Proveedor A,SKU00622,2025-07-30,2025-09-05,294,35279.74
OC01119,Proveedor D,SKU00251,2025-01-27,2025-02-26,153,8281.72
OC01120,Proveedor I,SKU00226,2026-06-25,2026-07-27,182,18020.74
OC01121,Proveedor I,SKU00080,2025-03-26,2025-04-23,182,14689.32
OC01122,Proveedor F,SKU00050,2025-06-05,2025-07-29,52,35625.37
OC01123,Proveedor F,SKU00527,2026-06-04,2026-07-28,52,34295.24
